db_id,table_catalog,table_schema,table_name,column_name,data_type,extra
bigquery,bigquery-public-data,census_bureau_usa,population_by_zip_2000,zipcode,STRING,
bigquery,bigquery-public-data,census_bureau_usa,population_by_zip_2000,geo_id,STRING,
bigquery,bigquery-public-data,census_bureau_usa,population_by_zip_2000,minimum_age,INT64,
bigquery,bigquery-public-data,census_bureau_usa,population_by_zip_2000,maximum_age,INT64,
bigquery,bigquery-public-data,census_bureau_usa,population_by_zip_2000,gender,STRING,
bigquery,bigquery-public-data,census_bureau_usa,population_by_zip_2000,population,INT64,
bigquery,bigquery-public-data,census_bureau_usa,population_by_zip_2010,geo_id,STRING,
bigquery,bigquery-public-data,census_bureau_usa,population_by_zip_2010,zipcode,STRING,
bigquery,bigquery-public-data,census_bureau_usa,population_by_zip_2010,population,INT64,
bigquery,bigquery-public-data,census_bureau_usa,population_by_zip_2010,minimum_age,INT64,
bigquery,bigquery-public-data,census_bureau_usa,population_by_zip_2010,maximum_age,INT64,
bigquery,bigquery-public-data,census_bureau_usa,population_by_zip_2010,gender,STRING,
